4/14/2018 5:13:04,Shield Knight,Plague Knight (again),Mole Knight,Propellor Knight
4/14/2018 10:07:19,Shovel Knight (again),Black Knight,Plague Knight (again),Troupple King
4/14/2018 15:32:58,Shovel Knight (again),Shield Knight,Tinker Knight,Polar Knight
4/14/2018 18:26:52,Shield Knight,Tinker Knight,Mr. Hat,The Bard
4/14/2018 18:27:10,Tinker Knight,Baz,Mr. Hat,Phantom Striker
4/14/2018 18:27:38,Shield Knight,Tinker Knight,Mr. Hat,The Bard
4/14/2018 19:00:22,Shovel Knight (again),Black Knight,Plague Knight (again),Polar Knight
4/14/2018 19:06:38,Shovel Knight (again),Shield Knight,Black Knight,Reize
4/14/2018 20:27:47,Black Knight,King Knight (again),Treasure Knight,Troupple King
4/14/2018 21:46:37,Shovel Knight (again),Black Knight,Tinker Knight,Troupple King
4/14/2018 23:47:13,Treasure Knight,Tinker Knight,Mr. Hat,The Bard
4/15/2018 0:06:16,Shield Knight,Tinker Knight,Propellor Knight,The Bard
4/15/2018 0:21:35,Shovel Knight (again),Black Knight,Mole Knight,Propellor Knight
4/15/2018 7:44:53,Shovel Knight (again),Shield Knight,Black Knight,Tinker Knight
4/15/2018 10:58:32,Shield Knight,Black Knight,Polar Knight,Reize
4/15/2018 17:06:22,Treasure Knight,Tinker Knight,Propellor Knight,The Bard
4/15/2018 17:45:33,Black Knight,Propellor Knight,Mr. Hat,Phantom Striker
4/15/2018 22:31:09,Shovel Knight (again),Shield Knight,Plague Knight (again),The Bard
4/15/2018 23:44:17,Propellor Knight,Polar Knight,Mr. Hat,The Bard
4/16/2018 0:45:04,Shield Knight,Black Knight,Tinker Knight,The Bard
4/16/2018 0:55:09,Shield Knight,Black Knight,Mole Knight,Polar Knight
4/16/2018 2:44:19,Shovel Knight (again),Tinker Knight,Polar Knight,Troupple King
4/16/2018 5:58:00,Shield Knight,Propellor Knight,Mr. Hat,The Bard
4/16/2018 14:19:18,Shield Knight,Plague Knight (again),Tinker Knight,Troupple King
4/16/2018 14:52:48,Shield Knight,Black Knight,Propellor Knight,Polar Knight
4/16/2018 19:02:34,Shovel Knight (again),Shield Knight,Black Knight,Tinker Knight
4/17/2018 22:52:37,Shield Knight,Black Knight,Propellor Knight,The Bard
4/18/2018 0:18:35,Shovel Knight (again),Specter Knight (again),King Knight (again),Plague Knight (again)
4/18/2018 6:24:12,Shovel Knight (again),Specter Knight (again),King Knight (again),Plague Knight (again)
4/18/2018 12:16:11,Shovel Knight (again),Treasure Knight,Mole Knight,Propellor Knight
4/18/2018 16:16:39,Shovel Knight (again),Shield Knight,Mr. Hat,The Bard
4/18/2018 17:14:23,Shield Knight,Propellor Knight,Mr. Hat,Phantom Striker
4/18/2018 17:25:13,Shovel Knight (again),Shield Knight,Propellor Knight,The Bard
4/18/2018 23:02:18,Shovel Knight (again),Black Knight,Reize,The Bard
4/19/2018 2:22:57,Shovel Knight (again),Shield Knight,Polar Knight,Phantom Striker
4/19/2018 6:40:43,Shovel Knight (again),Shield Knight,Black Knight,Mr. Hat
4/19/2018 10:22:01,Black Knight,Propellor Knight,Mr. Hat,Phantom Striker
